
 Lista de Imóveis da Caixa;;Data de geração:;26/07/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10177903 ;SP ;ADAMANTINA ;ADAMANTINA ;RUA SANTO ANDRÉ, N. 98, Nº 160 NO LOCAL - BAIRRO TERRA PRETA ;540.000,00;540.000,00;0.00;Imóvel rural, 0.00 de área total, 0.00 de área privativa, 800.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10177903
 8444408048450 ;SP ;ADOLFO ;BAIRRO ADOLFO ;RUA RUI COSTA N 811 CS811 QDG LT1, N. 811, QDG LT1 ;79.338,00;140.000,00;43.33;Casa, 0.00 de área total, 54.82 de área privativa, 232.84 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408048450
 8787701975796 ;SP ;AGUDOS ;VALE DOS PINHEIROS ;RUA AIDE DO CARMO PRADO, N. 25, LT 28 QD C ;124.200,00;207.000,00;40.00;Casa, 0.00 de área total, 50.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701975796
 8787708866704 ;SP ;ALTINOPOLIS ;FIGUEIREDO FELIPPE ;RUA SEIS, N. 330, LT 31 QD 14 ;116.000,00;116.000,00;0.00;Casa, 0.00 de área total, 46.10 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708866704
 1444415727831 ;SP ;ALUMINIO ;BREJO ;RUA ANGELINO SOARES DA CRUZ, N. 255, Apto 32, BLOCO 1, ED JOAO TISEO ;190.293,77;181.000,00;0.00;Apartamento, 0.00 de área total, 46.27 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415727831
 8444414884907 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA SILVIO ROMERO, N. 817 ;58.191,00;105.000,00;44.58;Casa, 0.00 de área total, 55.45 de área privativa, 126.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414884907
 8444409157504 ;SP ;ALVARES MACHADO ;PARQUE DOS PINHEIROS ;RUA MARTINS PENA, N. 741, LT 18A ;106.400,00;152.000,00;30.00;Casa, 0.00 de área total, 59.95 de área privativa, 126.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409157504
 8444429464933 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA COELHO NETO, N. 114, LOTE 35B QUADRA 1 ;163.000,00;163.000,00;0.00;Casa, 0.00 de área total, 53.23 de área privativa, 148.28 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429464933
 8444413030866 ;SP ;ALVARES MACHADO ;PARQUE DOS PINHEIROS ;RUA JOAQUIM SERRA, N. 220, LT 32 QD 9 ;125.000,00;125.000,00;0.00;Casa, 0.00 de área total, 55.45 de área privativa, 126.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413030866
 8444425430511 ;SP ;ALVARES MACHADO ;CENTRO ;RUA  ALCIDES MORANI, N. SN, LT 7B QD N ;135.806,91;58.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425430511
 8787702879740 ;SP ;AMERICANA ;JARDIM SAO ROQUE ;RUA JURUA, N. 304, Apto 31, VG 21 ;172.661,32;311.550,56;44.59;Apartamento, 68.46 de área total, 52.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702879740
 8787707949800 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 208, BL 15 ;99.756,00;180.000,00;44.58;Apartamento, 0.00 de área total, 46.55 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707949800
 8444420555413 ;SP ;AMERICANA ;PARQUE LIBERDADE ;RUA SERRA DO PARANAPIACABA, N. 235, 0 ;172.800,00;288.000,00;40.00;Casa, 0.00 de área total, 103.39 de área privativa, 174.62 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420555413
 1444416612930 ;SP ;AMERICANA ;JARDIM BELA VISTA ;RUA DO FLAMENGO, N. 311, Apto 72F ;149.500,00;230.000,00;35.00;Apartamento, 0.00 de área total, 58.20 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416612930
 10147313 ;SP ;AMERICANA ;CIDADE JARDIM II ;RUA DAS IMBUIAS, N. 1093, QUADRA 50, LOTE 27 ;325.650,00;501.000,00;35.00;Casa, 0.00 de área total, 117.45 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10147313
 8787705575784 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 404, BL 27 ;112.000,00;160.000,00;30.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705575784
 1444417322880 ;SP ;AMERICANA ;VILA DAINESE ;RUA JOSE ZANETTI, N. 97, Apto 703, BL 1 ;177.100,00;253.000,00;30.00;Apartamento, 0.00 de área total, 53.45 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417322880
 8555538136831 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 306, BLOCO 07 ;125.584,68;177.000,00;29.05;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538136831
 8555536228003 ;SP ;AMERICANA ;JARDIM SANTA ELIZA ;AVENIDA ANTONIO CENTURIONE BOER, N. 540, Apto 154, BLOCO 1 ;180.000,00;240.000,00;25.00;Apartamento, 0.00 de área total, 51.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536228003
 8444410990281 ;SP ;AMERICANA ;SAO VITO ;RUA ARNO TOGNETTA, N. 401, Apto 204,  BL 2 ;172.556,04;200.000,00;13.73;Apartamento, 0.00 de área total, 50.20 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410990281
 8555503799400 ;SP ;AMERICANA ;PARQUE UNIVERSITARIO ;RUA SUMARE, N. 155, Apto 102, BL A ;235.000,00;235.000,00;0.00;Apartamento, 0.00 de área total, 59.99 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555503799400
