, N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Descrição,Modalidade de venda,Link de acesso,Tipo de Lugar,Area Total,Area Privativa,Area do Terreno,Quartos,Garagem,Sala,Descrição Extra,Data 2º Leilão,Valor de venda 2º Leilão,Financiamento,Distância [km]
346,8787705056981.0,SP ,BOTUCATU ,VILA JULIANA ,"AVENIDA ITALIA, N. 298, Apto 503, BLOCO 10 ","117.048,91","125.000,00",6.37,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705056981,Apartamento,0.00,39.30,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.",30/07/2024 - 10h00,"117.048,91",1,234.64
347,8444413421091.0,SP ,BOTUCATU ,PQ RES 24 DE MAIO ,"RUA ANTONIO MODOLO SOBRINHO, N. 56, LT 09 QD A ","167.000,00","167.000,00",0.0,"Casa, 0.00 de área total, 59.50 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413421091,Casa,0.00,59.50,125.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.",10/09/2024 - 10h00,"101.265,44",1,234.64
348,8444408690004.0,SP ,BOTUCATU ,JARDIM AEROPORTO ,"RUA SOLDADO JOSE LAZARINI, N. 690, LT 23A QD D ","169.000,00","169.000,00",0.0,"Casa, 0.00 de área total, 62.55 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408690004,Casa,0.00,62.55,180.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.",22/08/2024 - 10h00,"129.044,86",1,234.64
349,8444408152835.0,SP ,BOTUCATU ,JARDIM MONTE MOR ,"RUA JOSE MARIA GODOY, N. 26, QUADRA 16 LOTE 3 ","150.000,00","150.000,00",0.0,"Casa, 0.00 de área total, 52.36 de área privativa, 250.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408152835,Casa,0.00,52.36,250.00,2,2,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.",21/08/2024 - 10h00,"90.000,00",1,234.64
350,8444414659903.0,SP ,BOTUCATU ,JARDIM MONTE MOR ,"RUA ARLINDO DURANTE ANTIGA RUA 6, N. 211, LT 09 QD 09 ","155.000,00","155.000,00",0.0,"Casa, 0.00 de área total, 47.62 de área privativa, 250.00 de área do terreno,  1 qto(s), 2 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414659903,Casa,0.00,47.62,250.00,1,2,0," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.",10/09/2024 - 10h00,"95.171,13",1,234.64
351,8787712155051.0,SP ,BOTUCATU ,PARQUE IMPERIAL ,"RUA NICOLA ZAPONI, N. 1427, Apto 401, BL 1 ","157.000,00","157.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712155051,Apartamento,0.00,39.30,0.00,2,2,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.",23/08/2024 - 10h00,"114.819,30",1,234.64
352,8787702166204.0,SP ,BOTUCATU ,VILA JULIANA ,"AVENIDA ITALIA, N. 408, Apto 203, BL 06 ","132.000,00","132.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702166204,Apartamento,0.00,39.30,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.",02/09/2024 - 10h00,"98.056,10",1,234.64
353,8444422484360.0,SP ,BOTUCATU ,RESIDENCIAL OURO VERDE ,"RUA ELIAS JOAQUIM, N. 259, LT 6A QD 30 ","228.000,00","228.000,00",0.0,"Casa, 0.00 de área total, 97.61 de área privativa, 125.00 de área do terreno,  2 qto(s), 2 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422484360,Casa,0.00,97.61,125.00,2,2,0," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.",10/09/2024 - 10h00,"140.574,20",1,234.64
354,8555515124780.0,SP ,BOTUCATU ,JARDIM MARIA LUIZA ,"RUA GABRIEL SANCHES CASTANHO, N. 59, LT 445 ","156.000,00","156.000,00",0.0,"Casa, 0.00 de área total, 42.75 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555515124780,Casa,0.00,42.75,200.00,2,2,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.",08/08/2024 - 10h00,"93.600,00",1,234.64
355,8555519646196.0,SP ,BOTUCATU ,JARDIM MARIA LUIZA ,"RUA VINTE, N. 88, LT 747 QD 32 ","167.000,00","167.000,00",0.0,"Casa, 42.75 de área total, 0.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555519646196,Casa,42.75,0.00,200.00,2,0,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.",16/08/2024 - 10h00,"100.200,00",1,234.64
